,CPI_alc,Chained_alc,Unit_alc,CLIP_alc,CPI_food,Chained_food,Unit_food,CLIP_food,,,,
201406,100,100,100,100,100,100,100,100,,,,
201407,97.9962898374,100.2914623079,100.006922,100.872796169,99.6451861893,99.376082047,99.663704,99.9232488752,,,,
201408,99.7653324689,99.4724937086,100.368731,100.550817178,99.2199610041,98.6759877035,99.084266,99.6947242609,,,,
201409,99.2550347273,98.0958931416,99.486068,100.104810194,98.6856965801,98.6177097521,99.169473,99.9078037079,,,,
201410,100.4346469792,97.9335944707,99.592058,100.232751299,100.5409106445,99.3642850979,99.673304,100.38226844,,,,
201411,97.7276538945,95.8021858128,97.981973,99.1003312923,100.7368265042,100.1317925845,101.694031,102.203514604,,,,
201412,96.2293635056,93.7267331513,96.249942,98.1335425834,101.56190565,101.2872269087,101.246348,102.190846525,,,,
201501,99.4150153238,95.7024577063,97.994102,98.5894971755,99.7058962425,99.9756902844,98.796135,100.575159581,,,,
201502,98.8029791805,96.3387282021,96.7129986461,98.3157118664,98.8452201983,99.0219359693,97.2508162424,100.2623500441,,,,
201503,97.628196322,95.4001506765,95.5919774774,98.0941916522,98.8962120941,98.1561760473,96.4678361253,100.073407085,,,,
201504,97.6231771971,94.3924391775,94.3526989862,97.9208200908,97.5532234177,98.1092950295,96.6551980555,100.0415724035,,,,
201505,98.9808620238,95.9062213133,95.8933965558,97.5194686432,98.3158299648,98.688381167,96.5793749858,98.404967545,,,,
201506,99.6270143832,95.064298337,95.2623066994,97.2748618758,97.7759481972,98.0944343023,95.9152673663,96.323392386,,,,
201507,97.3995161101,95.2703430371,95.0775427398,97.2347505221,96.4482764476,95.2054700309,93.1012264263,96.013235212,,,,
201508,98.0392325491,94.9457677638,95.2049164535,97.7536088419,96.9630502504,96.6870272899,91.1988584368,96.4525535822,,,,
201509,99.0155669131,93.045645295,94.0894094129,96.7326569336,96.8983201681,98.4917249119,91.0550092883,95.8147409284,,,,
201510,97.3293881447,92.0928846667,92.0184275397,96.7326569336,96.9726116961,99.844263629,94.7779483658,95.8147409284,,,,
201511,95.3999573321,90.6208342967,94.9115193901,95.3737795519,97.6129569514,100.0296262127,93.340390134,97.7777962917,,,,
201512,93.7861740323,88.3218936949,89.9469576559,94.5643931901,97.6105092901,100.8934833039,92.6379733252,98.1720452306,,,,
201601,,91.4606426977,93.1474665859,95.9662341924,,100.2774964859,91.5918724257,97.9527510433,,,,
201602,,90.3822,92.8177517105,94.5643931901,,101.3445,92.9531626347,98.1720452306,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,0
